,trip_id,train_name,date,cargo,station_id,event,cargo_type,fuel_level,ended
0,8A54TA1SOA,VXRCS,2025-03-05 12:38:20,1.0,station_D,Descarga de vagones,Textiles,1059.06,True
1,NVNQ65QDF1,UDAXI,2024-06-19 18:35:06,11.0,station_E,Salida de vagones,Electronics,147.91999999999985,True
2,W8YG4OK2EC,VXRCS,2024-12-10 16:56:49,3.0,station_G,Final de ruta,Electronics,0.0,True
3,SDFO8CL0LC,VXRCS,2024-09-27 16:39:48,0.0,station_G,Final de ruta,Machinery,0.0,True
4,9DAQM2OX8M,HHEXD,2025-01-18 11:50:19,3.0,station_C,Llegada de vagones,Textiles,261.41,True
5,S2H3TZR685,UDAXI,2024-07-17 19:52:42,0.0,station_F,Salida de vagones,Electronics,794.112,True
6,7TCOZDANTN,VXRCS,2024-08-15 16:46:20,3.0,station_G,Llegada de vagones,Textiles,892.8119999999998,True
7,P8IY3X80J0,VXRCS,2024-08-03 10:00:00,0.0,station_A,Comienzo de ruta,,1200.0,True
8,PXXYCJ2XX2,UDAXI,2024-09-08 01:41:58,0.0,station_G,Descarga de vagones,Chemicals,205.86400000000003,True
9,XOEAN5F3DX,VXRCS,2025-03-18 13:53:36,0.0,station_E,Salida de vagones,Machinery,771.24,True
10,GAEMI6QW04,HHEXD,2025-09-20 19:47:25,5.0,station_G,Descarga de vagones,Machinery,164.3,True
11,KYYOQF1P7R,UDAXI,2025-03-06 21:40:20,4.0,station_F,Descarga de vagones,Chemicals,0.0,True
12,ZSDP5YHP5E,VXRCS,2024-11-16 15:02:47,1.0,station_F,Llegada de vagones,Electronics,143.6640000000001,True
13,OKGPPR8DOY,VXRCS,2024-12-04 12:32:34,23.0,station_D,Llegada de vagones,Food,957.9000000000001,True
14,ETEN7GGO8Y,UDAXI,2025-03-19 16:40:33,0.0,station_D,Llegada de vagones,Food,57.792000000000115,True
15,98QSTPGDZ9,HHEXD,2024-12-12 19:07:03,6.0,station_G,Llegada de vagones,Food,340.04999999999995,True
16,K1R0T4EXQP,UDAXI,2024-10-23 19:36:56,15.0,station_C,Llegada de vagones,Chemicals,333.9839999999999,True
17,H0TB4QOD4K,VXRCS,2024-09-21 13:50:47,0.0,station_E,Llegada de vagones,Chemicals,122.44799999999998,True
18,25HBPKT9A9,HHEXD,2024-07-20 15:15:40,1.0,station_E,Salida de vagones,Electronics,623.8400000000001,True
19,6EW09U3BDL,VXRCS,2025-07-23 14:05:00,0.0,station_E,Descarga de vagones,Machinery,786.0,True
20,UOGP0MYOE4,UDAXI,2025-06-01 01:56:41,0.0,station_G,Descarga de vagones,Electronics,730.432,True
21,HQCETAGHNM,VXRCS,2025-06-28 10:01:21,10.0,station_A,Salida de vagones,Textiles,411.21600000000007,True
22,254B2PMSZD,VXRCS,2025-08-13 12:44:21,1.0,station_D,Salida de vagones,Electronics,1017.1679999999999,True
23,2SK10IFJNT,VXRCS,2025-06-18 16:55:37,1.0,station_G,Final de ruta,Chemicals,566.328,True
24,B33IZLX3AE,VXRCS,2025-06-06 13:31:25,2.0,station_E,Salida de vagones,Textiles,1028.6760000000002,True
25,PXXYCJ2XX2,UDAXI,2024-09-07 16:30:38,1.0,station_D,Llegada de vagones,Chemicals,431.46400000000006,True
26,0G7G2WOSQM,VXRCS,2025-05-14 11:03:36,26.0,station_B,Descarga de vagones,Electronics,1137.12,True
27,DRZE84LMQY,UDAXI,2025-03-10 19:12:02,1.0,station_E,Descarga de vagones,Electronics,853.568,True
28,XQBWEWPGVI,HHEXD,2024-09-03 14:10:16,0.0,station_D,Descarga de vagones,Textiles,695.9000000000001,True
29,QGBIYHVNT3,HHEXD,2025-09-27 11:08:04,6.0,station_B,Salida de vagones,Textiles,766.7,True
30,0LMI8X76RK,VXRCS,2024-07-31 10:00:00,0.0,station_A,Comienzo de ruta,,1200.0,True
31,PJ1TV28INI,UDAXI,2025-04-03 16:35:29,10.0,station_D,Descarga de vagones,Food,790.9200000000001,True
32,DIB4DGYDF1,VXRCS,2025-04-26 14:56:04,0.0,station_F,Llegada de vagones,Food,89.97600000000011,True
33,58CEPSOF1G,UDAXI,2024-07-26 10:15:00,42.0,station_A,Final carga,Machinery,591.184,True
34,9CYMTYGW5F,VXRCS,2025-05-20 17:19:49,2.0,station_G,Descarga de vagones,Machinery,440.22000000000014,True
35,99BRBLRTVW,VXRCS,2024-08-13 17:11:56,0.0,station_G,Llegada de vagones,Food,0.0,True
36,0G3QWQF6BH,HHEXD,2025-08-08 10:10:49,44.0,station_A,Final carga,Food,316.88,True
37,8ST4PZT3ED,HHEXD,2024-09-14 10:04:24,10.0,station_A,Final carga,Machinery,800.0,True
38,26192K42QP,HHEXD,2024-06-29 11:53:16,0.0,station_C,Descarga de vagones,Textiles,747.5,True
39,45H02CEQUA,VXRCS,2025-01-08 17:23:50,0.0,station_G,Descarga de vagones,Chemicals,20.604000000000326,True
40,FC8VYI78SN,HHEXD,2025-08-23 16:57:07,0.0,station_F,Salida de vagones,Chemicals,476.24,True
41,K6P6EGA7NM,UDAXI,2025-06-28 07:02:10,1.0,station_G,Final de ruta,Food,590.64,True
42,6EW09U3BDL,VXRCS,2025-07-23 11:12:16,0.0,station_B,Descarga de vagones,Machinery,1065.0,True
43,YP2KNWDQHD,VXRCS,2025-05-12 15:02:32,0.0,station_F,Salida de vagones,Machinery,681.15,True
44,AZCLUOG5JV,UDAXI,2024-12-06 22:47:41,5.0,station_D,Descarga de vagones,Food,852.1199999999999,True
